opi,peep,one chic chick ,221,214,185
opi,creemy green ,I'm so swamped ,113,163,52
opi,pewter gel,take a righ on bourbon ,174,166,163
opi,orange gel,crawfishin for a complement ,247,171,137
opi,creamy peach,got myself into a jam balaya ,235,131,128
opi,cr?me gel ,she is a bad muffuletta,231,27,861
opi,rasberry cr?me ,spare me a french quarter ,141,10,78
opi,luscious purple ,I manicure for beads,115,40,99
opi,pink gel,suzi nail ,255,183,194
opi,nude shimmer ,Humidi tea ,234,165,153
opi,refreshing blush ,let me a bayou a drink ,242,215,216
opi,purple gel,do you lilac it ,173,144,200
opi,egg plant gel ,o suzi mio ,36,1,33
opi,5-0 hawaii,Hello hawaii ya ,102,81,111
opi,creamy grey ,I cannoli wear opi,238,240,239
opi,saucy red,gimme a lido kiss ,142,16,0
opi,cents shimmery copper ,worth a pretty penne,184,103,85
opi,persimmon cremey gel ,it's a piazza cake ,190,64,42
opi,dessert ,tiramisu for two,240,222,212
opi,mint green ,that's hula-rious ,206,221,200
opi,cremy nude ,do you take lei away ,215,190,186
opi,golden red ,go with the lava flow ,179,21,30
opi,lagoon blue ,This color is making waves ,93,107,120
opi,perfect purple gel ,just lanai-ing around ,198,104,141
opi,cremy sea green ,my dogsled is a hybrid ,62,177,163
opi,cinamon coffee,how great is your dane ,62,50,52
opi,pewter,designer series ,222,162,163
opi,melodious blue ,got the blues for red ,67,0,7
opi,clawed,I eat mainely lobster ,242,72,72
opi,pink gel hotter,hotter than you pink ,198,85,138
opi,white gel,funny bunny ,229,226,221
opi,periwinkle purple gel,you're such a budapest ,193,191,228
opi,dep blu ceme gel,opi eurso euro,28,11,55
opi,racy red violet ,miami beet,114,9,26
opi,sizzling red orange ,opi on collins ave ,241,54,65
opi,Brilliant red orange ,The thill of brazil ,159,0,23
opi,mod-ern light pink,Mod about you ,244,212,217
opi,bright orange red,my chihuahua bites ,233,1,59
opi,intoxicating ,Malaga wine ,87,5,28
opi,red shade of gel ,opi red ,105,3,4
opi,A vivacious chianti ,I'm not really a waitress ,76,10,11
opi,cremy nude gel,Don't bossa nova me around ,197,181,184
opi,˜enticing taupe gel,Taupe-less beatch ,165,151,162
opi,yellow gel,I just can't cope-acabana ,255,227,101
opi,confident orange gel,Toucan do it If you try ,251,126,106
opi,creamy white gel,it's in thr cloud ,220,215,211
opi,lovely sheer white ,Chiffon my mind ,237,226,224
opi,baby peach gel˜,stop it I'm blushing ,231,202,194
opi,melon gel,A great opera-tunity ,222,157,137
opi,cr?me shade of gel ,Aloha from opi,254,51,57
opi,Classic red,coca-cola red ,230,0,36
opi,red gel,color so hot it berns ,177,0,23
opi,ravishing red gel,Amore at the grand canal ,124,1,21
opi,red accent gel,chick flick cherry ,103,7,19
opi,happy pink gel,suzi shops and island hops ,245,197,207
opi,pastels ,do you lilac it ,201,153,193
opi,pale lilac,I am what I amethyst,223,225,238
opi,aqua gel nail,can't find my czechbook,110,179,198
opi,dark wine,bogota blackberry ,76,9,10
opi,dark black red ,black cherry chutney ,20,7,17
opi,opaque cr?me gel,be there in a prosecco ,230,218,206
opi,deep jungle green gel,Amazon amazoff,13,143,157
opi,crisp white gel,alpine snow ,232,232,232
opi,pastel blue gel nail˜,gelato on my mind ,206,230,230
